PhraseId	SentenceId	Phrase	Sentiment
1	1	useful code comment seen	0
2	1	much useful classic	0
3	1	deep depths unix version kernel statement accomplishes switch processes relies c operator precedence side effects unix synchronization subroutines either extremely elegant abomination depending point view extraordinary statement comment	0
4	1	expected understand	0
5	1	braggadocio acknowledgement following code really complex shame skipping need understand	0
6	1	comment since entered computing folklore even geeky button commemorate	0
7	1	due popular demand statement	0
9	1	new process paused	0
10	1	swapped set stack level last call	0
11	1	savu ussav means return	0
12	1	actually returns last routine	0
13	1	savu	0
15	1	expected understand	0
17	1	rp pflag sswap	0
18	1	rp pflag sswap	0
19	1	aretu uussav	0
21	1	popular demand think going	0
22	1	first test executed critical region era c native support synchronization primitives would expensive make procedure calls semaphore lock unlock possibility code interrupted process time slice explains weirdness	0
23	1	variable rp seems point set bits determine process status statement line tests one bits c convention masking constant sswap bit set result nonzero expression evaluates true c compiler boil single uninterruptible instruction	0
24	1	turn swapping bit masking inverse original mask assignment operator equivalent	0
25	1	rp pflag rp pflag sswap except compiler optimize single instruction note operator c notation standard also note need critical region since already decided take branch line	0
26	1	call magic kernel level procedure aretu probably coded assembler fudges return address stack value saved process earlier means stack swap return saved address one procedure call	0
27	1	worked term mom pop shop owner insane mom right mind would voluntarily make pop	0
28	1	well whatever worked one	0
29	1	owner opinion code ran good code matter code barely functional took five minutes render web page page displays customer pays	0
30	1	corollary statement runs like shit pay fix say soulsucking place work insult souls vacuum cleaners	0
31	1	lot bad programs huge monolithic files filled screen screen bad code easy way find looking even tenacity dive try fix	0
32	1	one found holy grail road map end road maps	0
33	1	explain let tell document	0
34	1	notepad text editor choice document map feature	0
35	1	image credit notepad home	0
36	1	fairly common feature days lot text editors places small copy document righthand side screen shaded area highlighting visible section document	0
37	1	come back moment	0
38	1	one day scrolling code found weird comment line	0
40	1	okay weird little line separate one block code another scrolled next line	0
44	1	went like seventeen lines somebody really wanted highlight one block code ended next began	0
45	1	well time discovered document map notepad turned saw comments appeared idea section code followed block dealt credit card processing edited comment little three full lines added following	0
52	1	look like much watch happens stick code block	0
59	1	see going	0
80	1	crazy right	0
81	1	updated comment flags found twoletter codes help visually navigate document using map feature	0
82	1	good idea ehh example best practices heck amuse every time go back train wreck website deal code obviously written junior programmer whose chalk outline still visible sidewalk outside bet	0
83	1	kidding course chalk outline bad management sufficient explain high turnover rate without resorting murder andor	0
84	1	thanks	0
85	1	unfortunately memorable comments share classic folklore comments opinion though good thing	0
86	1	experience useful code comments commentary code makes yup going guy let demonstrate	0
87	1	take following	0
88	1	employeehiredatebefore formatparse	0
89	1	employeesalary	0
90	1	else	0
91	1	employeesalary	0
93	1	earth bit crap guess sure let comment	0
94	1	determine employees hired company purchased	0
95	1	employeehiredateafter formatparse	0
96	1	legacy employees get standard yearly raise five percent per purchase agreement	0
97	1	employeesalary	0
98	1	else	0
99	1	new hires get current standard rate three percent nt covered agreement	0
100	1	employeesalary	0
102	1	well certainly know code wait looks like comment claims different rate code wtf	0
103	1	fundamental problem comments matter wellmeaning comments compiled verified	0
104	1	comment either gets deleted lives long enough made liar	0
105	1	val updatedemployee employeereceiveyearlyraise	0
106	1	much better know exactly read cluttered comments may may tell truth	0
107	1	programming languages expressive enough talent subtly wield languages express intent would need comment much perhaps robert martin clean code	0
108	1	course contrived example could debate comment quality try improve improve code instead	0
109	1	developer write clean code write clean comments either	0
110	1	useful comments exist useful comments code comments never get written code explains sufficiently comment absolute last resort	0
111	1	code behind employeereceiveyearlyraise extra reading	0
112	1	case curious fact mock code could look like many ways course one thought spot	0
113	1	package employees	0
114	1	object employee	0
115	1	private val format new simpledateformat yyyymmdd	0
116	1	val purchaseagreementdate formatparse	0
117	1	val purchaseagreementyearlyraise	0
118	1	val standardemployeeyearlyraise	0
119	1	def apply hiredate date salary int employee	0
120	1	hiredatebefore purchaseagreementdate	0
121	1	employee hiredate salary purchaseagreementyearlyraise	0
122	1	else	0
123	1	employee hiredate salary standardemployeeyearlyraise	0
125	1	case class employee private employees hiredate date salary int standardyearlyraise double	0
126	1	def receiveyearlyraise employee thiscopy	0
127	1	salary salary standardyearlyraise intvalue	0
130	1	notice absolutely need comment percentages selfexplanatory comment would provide extra information	0
131	1	also much testable maintainable employee tested isolation factory method refactors extracting config object adding employeecontract object splitting employees subtypes easily possible without affecting caller employeereceiveyearlyraise	0
132	1	fact made comments unnecessary made code better	0
133	1	final aside change comments	0
134	1	amusing comments view trust modify style preferably counter people tried failed stories hilarious	0
135	1	however comments amusing useful	0
136	1	original developer knows code altered go comment intentionally vague helps one details may guide future developer meaningful useful change	0
137	1	original developer know code altered warning issues experienced entirely appropriate right assume one solve problem	0
138	1	anyone says original developer know reason include reason along responsible tests highlighting issues solid comment change portion presumptuous unnecessary future developers absolutely feel welcome safe attempt modify code believe new insight	0
139	1	still enjoy cute story confuse cute story quality comment	0
140	1	useful comment ever put code top implementation long complicated perl script read lasciate ogni speranza voi ch entrate renaissance italian dante epic poem inferno words dante claimed written doorway hell roughly translates abandon hope enter	0
141	1	hand useless comment ever saw one way back apple ethernet driver implementation written motorola assembly code macos written contractor years one ever looked got bug assigned see driver could fixed performed poorly satisfactory busy ethernet network checked source code opened editor take look roughly lines assembly language code written informative function names labels kind mostly used letter number assembly labels code two comments top implementation comment shit lines later second comment shit	0
142	1	threw away code rewrote whole thing scratch using informative function label names worked great think ever got another bug assigned component retired code macos moved ibm powerpc processor chip	0
143	2	never say programmer	0
144	2	weeks day	0
145	2	worked startup newly hired vp engineering meeting colleague j j give damn politics liked vp asks long critical project explains whole thing think verbally break chunks add say weeks turns j asks long take pissed say anything j says weeks nothing nothing less	0
146	2	vp weeks day	0
147	2	j raises one eyebrow really	0
148	2	vp nods	0
149	2	j prove	0
150	2	vp pissed royally pissed raising voice halfway scream shout says want prove	0
151	2	j cool cucumber yeah	0
152	2	vp totally losing cool fucking fired leads away hr person room comes back	0
153	2	vp week	0
154	2	resigning walk hr room	0
155	2	end week people resigned vacation came work following monday saw j resigned engineering team went less week	0
156	2	funnily enough two acquaintances got job offers company month event asked opinion said resigned without job hand think means one declined job accepted week tendered resignation	0
157	2	edit small world strikes excolleague discussing something said hey heard company xyz turns pinged recruiter vp engineering position startup showed answer took lunch thank	0
158	2	met friend kiran long time initial random conversation	0
159	2	kiran job profile	0
160	2	excitedly design electronic circuits write lowlevel programs	0
161	2	k lowlevel programmer	0
162	2	yeah	0
163	2	k cousin also programmer think smarter	0
164	2	confused thinking must good programmer oh great would nice meet think smarter	0
165	2	k although still school highlevel programmer	0
167	2	ps lowlevel programmer machine level programmer easy profile	0
168	2	low level programming languages interact directly hardware high level ones nt direct easy access hardware	0
169	2	oh bunch	0
170	2	hate people come questions	0
171	2	look google answers go grad school learn shit	0
172	2	need additional monitors laptop screen sufficient	0
173	2	need upgrade ram laptop	0
174	2	need white board next	0
175	2	keep monitor vertical bullshit	0
176	2	concentrate coding listening songs headphone	0
177	2	use tabs instead spaces	0
178	2	glasses always thick black	0
179	2	wear formal office clothes work	0
